"subid","goal","true_state","utterance"
"105","social","1","yes_good"
"105","informative","2","not_terrible"
"105","informative","3","yes_amazing"
"105","informative","0","yes_terrible"
"105","informative","1","yes_bad"
"106","social","0","yes_good"
"106","social","2","yes_amazing"
"106","social","3","yes_amazing"
"106","social","1","yes_good"
"106","informative","0","yes_terrible"
"106","informative","2","yes_good"
"106","informative","3","yes_amazing"
"106","informative","1","not_bad"
"106","both","0","not_terrible"
"106","both","2","yes_good"
"106","both","3","yes_amazing"
"106","both","1","yes_good"
"107","both","2","yes_good"
"107","both","1","yes_good"
"107","both","3","yes_amazing"
"107","both","0","not_bad"
"107","social","2","yes_amazing"
"107","social","1","not_bad"
"107","social","3","yes_amazing"
"107","social","0","not_terrible"
"107","informative","2","yes_good"
"107","informative","1","not_good"
"107","informative","3","yes_amazing"
"107","informative","0","yes_terrible"
"108","social","2","yes_good"
"108","social","0","not_good"
"108","social","3","yes_amazing"
"108","social","1","yes_good"
"108","both","2","yes_good"
"108","both","0","yes_terrible"
"108","both","3","yes_good"
"108","both","1","yes_good"
"108","informative","2","yes_good"
"108","informative","0","not_good"
"108","informative","3","yes_good"
"108","informative","1","not_bad"
"115","social","1","yes_good"
"115","social","2","yes_good"
"115","social","3","yes_amazing"
"115","social","0","not_bad"
"115","both","1","not_bad"
"115","both","2","yes_good"
"115","both","3","yes_amazing"
"115","both","0","not_terrible"
"115","informative","1","yes_bad"
"115","informative","2","yes_good"
"115","informative","3","yes_amazing"
"115","informative","0","yes_bad"
"117","social","0","yes_good"
"117","social","1","yes_good"
"117","social","2","yes_good"
"117","social","3","yes_amazing"
"117","both","0","not_good"
"117","both","1","not_good"
"117","both","2","yes_good"
"117","both","3","yes_amazing"
"117","informative","0","yes_terrible"
"117","informative","1","yes_bad"
"117","informative","2","yes_good"
"117","informative","3","yes_amazing"
"127","social","0","yes_good"
"127","social","2","yes_amazing"
"127","social","1","yes_good"
"127","social","3","yes_amazing"
"127","informative","0","not_good"
"127","informative","2","yes_good"
"127","informative","1","not_amazing"
"127","informative","3","yes_amazing"
"127","both","0","not_good"
"127","both","2","yes_good"
"127","both","1","not_terrible"
"127","both","3","yes_amazing"
"128","informative","0","not_good"
"128","informative","2","yes_good"
"128","informative","1","not_good"
"128","informative","3","yes_amazing"
"128","social","0","yes_terrible"
"128","social","2","yes_good"
"128","social","1","yes_bad"
"128","social","3","yes_amazing"
"128","both","0","yes_terrible"
"128","both","2","yes_good"
"128","both","1","not_good"
"128","both","3","yes_amazing"
"130","social","2","yes_good"
"130","social","0","yes_good"
"130","social","1","yes_good"
"130","social","3","yes_amazing"
"130","both","2","yes_amazing"
"130","both","0","not_bad"
"130","both","1","not_bad"
"130","both","3","yes_amazing"
"130","informative","2","yes_good"
"130","informative","0","yes_terrible"
"130","informative","1","yes_bad"
"130","informative","3","yes_amazing"
"140","social","3","yes_amazing"
"140","social","0","yes_good"
"140","social","2","yes_good"
"140","social","1","yes_good"
"140","both","3","yes_amazing"
"140","both","0","yes_good"
"140","both","2","yes_good"
"140","both","1","yes_good"
"140","informative","3","yes_amazing"
"140","informative","0","yes_good"
"140","informative","2","not_bad"
"140","informative","1","not_bad"
"142","both","3","yes_amazing"
"142","both","1","yes_bad"
"142","both","2","not_amazing"
"142","both","0","yes_terrible"
"142","social","3","yes_amazing"
"142","social","1","not_terrible"
"142","social","2","yes_good"
"142","social","0","not_amazing"
"142","informative","3","yes_amazing"
"142","informative","1","not_terrible"
"142","informative","2","yes_good"
"142","informative","0","yes_terrible"
"143","informative","3","yes_amazing"
"143","informative","2","yes_good"
"143","informative","1","yes_bad"
"143","informative","0","yes_terrible"
"143","both","3","yes_amazing"
"143","both","2","yes_good"
"143","both","1","not_terrible"
"143","both","0","not_terrible"
"143","social","3","yes_amazing"
"143","social","2","yes_amazing"
"143","social","1","yes_good"
"143","social","0","not_bad"
"153","both","3","yes_amazing"
"153","both","2","yes_good"
"153","both","0","not_bad"
"153","both","1","not_terrible"
"153","social","3","yes_amazing"
"153","social","2","yes_good"
"153","social","0","not_terrible"
"153","social","1","yes_good"
"153","informative","3","yes_amazing"
"153","informative","2","yes_good"
"153","informative","0","yes_terrible"
"153","informative","1","not_bad"
"155","social","2","yes_good"
"155","social","3","yes_amazing"
"155","social","0","not_terrible"
"155","social","1","yes_good"
"155","informative","2","yes_good"
"155","informative","3","yes_amazing"
"155","informative","0","yes_terrible"
"155","informative","1","yes_bad"
"155","both","2","yes_good"
"155","both","3","yes_amazing"
"155","both","0","not_amazing"
"155","both","1","not_terrible"
"162","social","3","yes_amazing"
"162","social","1","not_bad"
"162","social","2","yes_good"
"162","social","0","not_terrible"
"162","informative","3","yes_amazing"
"162","informative","1","yes_bad"
"162","informative","2","yes_good"
"162","informative","0","yes_terrible"
"162","both","3","yes_amazing"
"162","both","1","not_terrible"
"162","both","2","yes_good"
"162","both","0","yes_bad"
"163","social","3","yes_amazing"
"163","social","2","yes_amazing"
"163","social","1","yes_amazing"
"163","social","0","yes_amazing"
"163","both","3","yes_amazing"
"163","both","2","yes_good"
"163","both","1","yes_good"
"163","both","0","not_good"
"163","informative","3","yes_amazing"
"163","informative","2","yes_good"
"163","informative","1","not_bad"
"163","informative","0","yes_bad"
"166","informative","2","not_bad"
"166","informative","0","yes_terrible"
"166","informative","1","yes_bad"
"166","informative","3","yes_amazing"
"166","both","2","yes_good"
"166","both","0","not_amazing"
"166","both","1","not_terrible"
"166","both","3","yes_amazing"
"166","social","2","yes_good"
"166","social","0","yes_good"
"166","social","1","yes_good"
"166","social","3","yes_amazing"
"167","social","3","not_bad"
"167","social","1","not_terrible"
"167","social","0","yes_bad"
"167","social","2","yes_good"
"167","informative","3","yes_amazing"
"167","informative","1","yes_good"
"167","informative","0","yes_bad"
"167","informative","2","yes_good"
"167","both","3","yes_amazing"
"167","both","1","yes_good"
"167","both","0","not_terrible"
"167","both","2","yes_good"
"176","both","3","yes_amazing"
"176","both","2","yes_good"
"176","both","1","not_bad"
"176","both","0","not_terrible"
"176","informative","3","yes_amazing"
"176","informative","2","yes_good"
"176","informative","1","not_bad"
"176","informative","0","not_terrible"
"176","social","3","yes_amazing"
"176","social","2","yes_good"
"176","social","1","not_bad"
"176","social","0","yes_good"
"178","both","3","yes_amazing"
"178","both","2","yes_good"
"178","both","0","not_terrible"
"178","both","1","not_bad"
"178","social","3","yes_amazing"
"178","social","2","yes_good"
"178","social","0","not_terrible"
"178","social","1","not_bad"
"178","informative","3","yes_amazing"
"178","informative","2","yes_good"
"178","informative","0","yes_terrible"
"178","informative","1","yes_bad"
"182","informative","1","not_good"
"182","informative","2","yes_good"
"182","informative","3","yes_amazing"
"182","informative","0","not_good"
"182","social","1","not_bad"
"182","social","2","yes_good"
"182","social","3","yes_amazing"
"182","social","0","not_terrible"
"182","both","1","not_bad"
"182","both","2","yes_good"
"182","both","3","yes_amazing"
"182","both","0","not_terrible"
"185","informative","3","yes_amazing"
"185","informative","0","yes_terrible"
"185","informative","2","yes_good"
"185","informative","1","yes_bad"
"185","social","3","yes_amazing"
"185","social","0","yes_terrible"
"185","social","2","yes_good"
"185","social","1","yes_bad"
"185","both","3","yes_amazing"
